,date,revenue,earnings,actual,estimate,ticker,as_of_date
262,3Q2019,3587000000.0,466000000,1.91,1.9,SYK,4/28/20
263,4Q2019,4131000000.0,725000000,2.49,2.46,SYK,4/28/20
264,1Q2019,2650000000.0,154000000,0.28,0.3,AES,4/28/20
265,2Q2019,2483000000.0,17000000,0.26,0.27,AES,4/28/20
266,3Q2019,2625000000.0,210000000,0.48,0.41,AES,4/28/20
267,4Q2019,2431000000.0,-78000000,0.35,0.33,AES,4/28/20
268,1Q2019,359988000.0,129159000,,,ARE,4/28/20
269,2Q2019,375118000.0,78767000,0.68,0.52,ARE,4/28/20
270,3Q2019,393435000.0,-47202000,-0.44,0.43,ARE,4/28/20
271,4Q2019,412891000.0,202441000,1.74,0.59,ARE,4/28/20
272,1Q2019,52429000000.0,-796000000,3.69,3.66,MCK,4/28/20
273,2Q2019,55728000000.0,423000000,3.31,3.01,MCK,4/28/20
274,3Q2019,57616000000.0,-730000000,3.6,3.6,MCK,4/28/20
275,4Q2019,59172000000.0,186000000,3.81,3.56,MCK,4/28/20
276,1Q2019,1256000000.0,375000000,1.41,1.34,MAR,4/28/20
277,2Q2019,1402000000.0,232000000,1.56,1.56,MAR,4/28/20
278,3Q2019,1332000000.0,387000000,1.47,1.49,MAR,4/28/20
279,4Q2019,1383000000.0,279000000,1.57,1.47,MAR,4/28/20
280,1Q2019,1975500000.0,246100000,1.87,1.86,ZBH,4/28/20
281,2Q2019,1988600000.0,133700000,1.93,1.91,ZBH,4/28/20
282,3Q2019,1892400000.0,431100000,1.77,1.75,ZBH,4/28/20
283,4Q2019,2125700000.0,320700000,2.3,2.27,ZBH,4/28/20
284,1Q2019,832064000.0,133569000,1.23,1.22,ALB,4/28/20
285,2Q2019,885052000.0,154198000,1.55,1.44,ALB,4/28/20
286,3Q2019,879747000.0,155070000,1.53,1.56,ALB,4/28/20
287,4Q2019,992564000.0,90391000,1.73,1.74,ALB,4/28/20
288,1Q2019,16107000000.0,566000000,4.48,4.3,HUM,4/28/20
289,2Q2019,16245000000.0,940000000,6.05,5.3,HUM,4/28/20
290,3Q2019,16241000000.0,689000000,5.03,4.58,HUM,4/28/20
291,4Q2019,16295000000.0,512000000,2.28,2.2,HUM,4/28/20
292,1Q2019,3514000000.0,424000000,1.39,1.36,ED,4/28/20
293,2Q2019,2744000000.0,152000000,0.58,0.59,ED,4/28/20
294,3Q2019,3365000000.0,473000000,1.54,1.58,ED,4/28/20
295,4Q2019,2951000000.0,295000000,0.87,0.8,ED,4/28/20
296,1Q2019,5779000000.0,515000000,0.32,0.3,JCI,4/28/20
297,2Q2019,6451000000.0,4192000000,0.65,0.63,JCI,4/28/20
298,3Q2019,6274000000.0,612000000,0.78,0.76,JCI,4/28/20
299,4Q2019,5576000000.0,159000000,0.4,0.38,JCI,4/28/20
300,1Q2019,12884000000.0,1413000000,0.97,0.92,PEP,4/28/20
301,2Q2019,16449000000.0,2035000000,1.54,1.5,PEP,4/28/20
302,3Q2019,17188000000.0,2100000000,1.56,1.5,PEP,4/28/20
303,4Q2019,20640000000.0,1766000000,1.45,1.44,PEP,4/28/20
304,1Q2019,1176000000.0,496900000,1.62,1.6,CME,4/28/20
305,2Q2019,1271000000.0,513800000,1.76,1.76,CME,4/28/20
306,3Q2019,1275300000.0,636300000,1.9,1.76,CME,4/28/20
307,4Q2019,1135500000.0,469500000,1.52,1.54,CME,4/28/20
308,1Q2019,620300000.0,47100000,0.38,0.34,IR,4/28/20
309,2Q2019,629100000.0,44900000,0.43,0.39,IR,4/28/20
310,3Q2019,596700000.0,41300000,0.41,0.38,IR,4/28/20
311,4Q2019,605800000.0,25700000,0.37,0.34,IR,4/28/20
312,1Q2019,1337000000.0,173100000,0.41,0.43,WU,4/28/20
313,2Q2019,1340500000.0,614800000,0.45,0.6,WU,4/28/20
314,3Q2019,1306900000.0,135000000,0.49,0.46,WU,4/28/20
315,4Q2019,1307700000.0,135400000,0.38,0.43,WU,4/28/20
316,1Q2019,3187144000.0,339761000,0.65,0.65,DISH,4/28/20
317,2Q2019,3211312000.0,317043000,0.6,0.65,DISH,4/28/20
318,3Q2019,3168363000.0,353304000,0.66,0.61,DISH,4/28/20
319,4Q2019,3240865000.0,389404000,0.69,0.59,DISH,4/28/20
320,1Q2019,497857000.0,102312000,0.62,0.4,INCY,4/28/20
321,2Q2019,529932000.0,105318000,0.75,0.48,INCY,4/28/20
322,3Q2019,551581000.0,128271000,0.82,0.65,INCY,4/28/20
323,4Q2019,579389000.0,111005000,0.65,0.57,INCY,4/28/20
324,1Q2019,2752000000.0,529000000,0.76,0.67,FOXA,4/28/20
325,2Q2019,2513000000.0,454000000,0.62,0.59,FOXA,4/28/20
326,3Q2019,2667000000.0,499000000,0.83,0.69,FOXA,4/28/20
327,4Q2019,3778000000.0,300000000,0.1,-0.02,FOXA,4/28/20
328,1Q2019,855000000.0,158000000,0.8,0.76,HLT,4/28/20
329,2Q2019,1004000000.0,260000000,1.06,1.01,HLT,4/28/20
330,3Q2019,961000000.0,288000000,1.05,1.02,HLT,4/28/20
331,4Q2019,946000000.0,175000000,1.0,0.96,HLT,4/28/20
332,2Q2019,4594000000.0,485000000,1.67,1.61,KMB,4/28/20
333,3Q2019,4640000000.0,671000000,1.84,1.8,KMB,4/28/20
334,4Q2019,4583000000.0,547000000,1.71,1.7,KMB,4/28/20
335,1Q2020,5009000000.0,660000000,2.13,1.98,KMB,4/28/20
336,2Q2019,10244000000.0,2201000000,1.23,1.14,MS,4/28/20
337,3Q2019,10032000000.0,2173000000,1.27,1.11,MS,4/28/20
338,4Q2019,10857000000.0,2239000000,1.3,1.0,MS,4/28/20
339,1Q2020,9487000000.0,1698000000,1.01,1.14,MS,4/28/20
340,1Q2019,601500000.0,94300000,1.11,1.0,CBOE,4/28/20
341,2Q2019,620600000.0,88300000,1.13,1.07,CBOE,4/28/20
342,3Q2019,675400000.0,106000000,1.29,1.15,CBOE,4/28/20
343,4Q2019,598600000.0,86300000,1.21,1.1,CBOE,4/28/20
344,1Q2019,14922000000.0,5452000000,1.61,1.58,DIS,4/28/20
345,2Q2019,20245000000.0,1760000000,1.35,1.75,DIS,4/28/20
346,3Q2019,19100000000.0,1054000000,1.07,0.95,DIS,4/28/20
347,4Q2019,20858000000.0,2107000000,1.53,1.44,DIS,4/28/20
348,1Q2019,472600000.0,58800000,0.46,0.39,FTNT,4/28/20
349,2Q2019,521700000.0,72700000,0.58,0.5,FTNT,4/28/20
350,3Q2019,547500000.0,79800000,0.67,0.56,FTNT,4/28/20
351,4Q2019,614400000.0,115200000,0.76,0.7,FTNT,4/28/20
352,2Q2019,731200000.0,109300000,1.26,1.32,ALLE,4/28/20
353,3Q2019,748300000.0,131600000,1.47,1.32,ALLE,4/28/20
354,4Q2019,719500000.0,80700000,1.28,1.29,ALLE,4/28/20
355,1Q2020,674700000.0,400000,1.04,0.89,ALLE,4/28/20
356,2Q2019,642099000.0,113209000,1.5,1.49,IEX,4/28/20
357,3Q2019,624246000.0,105194000,1.52,1.46,IEX,4/28/20
358,4Q2019,605997000.0,96850000,1.33,1.35,IEX,4/28/20
359,1Q2020,594462000.0,101998000,1.33,1.3,IEX,4/28/20
360,1Q2019,4736833000.0,160250000,1.28,1.3,GPC,4/28/20
361,2Q2019,4934260000.0,224430000,1.57,1.65,GPC,4/28/20
362,3Q2019,5015023000.0,227487000,1.5,1.47,GPC,4/28/20
363,4Q2019,4706189000.0,8918000,1.35,1.3,GPC,4/28/20
364,2Q2019,1592000000.0,209000000,2.38,2.35,CE,4/28/20
365,3Q2019,1586000000.0,263000000,2.53,2.51,CE,4/28/20
366,4Q2019,1432000000.0,43000000,1.99,2.13,CE,4/28/20
367,1Q2020,1460000000.0,218000000,2.29,2.24,CE,4/28/20
368,1Q2019,2206000000.0,133000000,0.91,0.8,XRX,4/28/20
369,2Q2019,2289000000.0,181000000,0.99,0.88,XRX,4/28/20
370,3Q2019,2200000000.0,221000000,1.08,0.86,XRX,4/28/20
371,4Q2019,2444000000.0,818000000,1.33,1.11,XRX,4/28/20
372,1Q2019,3897247000.0,253055000,0.54,0.43,HFC,4/28/20
373,2Q2019,4782615000.0,196915000,2.18,1.64,HFC,4/28/20
